format,Name,description,minting-too,series_number,series_total,attributes,collection,Hash
CHIP-0007,mayowa-the-smallie,Mayowa is so small but everyone loves him still.,,13,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",cdddabf34aeb02e0d51adad59e6f3fb43cec9248c8849fd603873a304a8e4801
CHIP-0007,muyiwa-the-stylish,Muyiwa has a motto which is never to be caught unfresh.,,14,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",fa3e79e5503c144d04091de6fb697fcecde22c840139304f82a19cddd4b952c4
CHIP-0007,nina-paper-chaser,Nina loves money. It's all she dreams of. ,,15,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",247cdf526197cc4f6d007755b604a169e58196a0e05a524ee1554495bd86152f
CHIP-0007,oluwaseun-spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,,16,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",03bb108392cde1189a828a443b41e9840398c8dec40b2259d65dfd68fc63c2d0
CHIP-0007,sesan-the-smartie,Sesan always comes first in competitions.,,17,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",f093f476997ab3b0ce37754df57c04cb3d99608ba8a954823ac3e8e72cd766fa
CHIP-0007,tiwa-london,If she says she's in London and you see her; you're in London too.,,18,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",56cbc225e864adde39bb7d2886a43cd8e53017aa0b2b29b5ff1d9ce1d1b53033
CHIP-0007,tunde-yoruba-demon,Tunde derives joy in breaking hearts. It's a lifestyle.,,19,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",c0b31144db21893deb4f2c6f8c68ffccbc65ba39ede523c0ba15f141cd66639e
CHIP-0007,yakubu-the-zombie,Yakubu earned his zombie title because na only dust full him head.,,20,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",783a3e917fd083913ac0ca5028bf47389504b350b95e2edd2a73260bb9350d8e
CHIP-0007,abdul-the-vibe,Abdul the life of the party and can never be caught un-fresh.,TEAM CLUTCH,21,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: none; clothing: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",71945d3ebfbf3f970d08376ee40e6f3c56ef63007131d89fcf1c0dfc14394dab
CHIP-0007,emeka-the -clown,Emeka the funny man; always making silly joke.,,22,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: none; clothing: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",cd1bc9f6e7791fc803c276a51bbbef9bfa5d22a15d3ee1edf894b73bb7805942
CHIP-0007,salam-the-odogwu,Salam is a big time textile marketer always sourcing for quality materials.,,23,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: brown; teeth: none; clothing: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",b1c22e8dbb1a6dd5c66ab06d562775bf0734f570320ad5272233df6581a27d4a
CHIP-0007,charles-the-exporter,Charles a business man an importer and exporter never to be caught idle.,,24,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: grey; teeth: none; clothing: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",e0cb68c76a16738d4d22c78c1057f17f6abc3efc9b724885c66b5055784bd104
CHIP-0007,wole-the-pimp,Wole knows people and his way around his city.,,25,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: two white teeth with diastema; clothing :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",b6c5e7ec012924094f4bb9f9fbe70a142ca51ecdf73bdaac42c65ee5bad343ac
CHIP-0007,saro-the-baller,Saro is a baller and he is always ready to turn-up,,26,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothing: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",3e47fa1bf085a27941b6d1ba8ea03161c3ebf052b614b1f2ec0df067219508f8
CHIP-0007,ade-omo-yoruba,Ade is an influential man and he is revered in his town.,,27,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothing: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",966ea6beef863d0e7278334b0dfc3eef4b63c34dc7b5a9cb1593c3c80772d14e
CHIP-0007,shola-cool-kid,Shola prefers to be alone because he hates stress.,,28,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: none; teeth: none; clothing: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",ece4a11368615eaac2a84b73b3bae48cadd99e4189ae639568b88f620cf11389
CHIP-0007,charlie-the-smoker,Charlie uses smoking as a coping mechanism.,,29,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: none; clothing: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",1c4fa82997b3e7705132f64d859255de50f4d361c1af53df5c62de2035433334
CHIP-0007,femi-the-badguy,Femi is one of the fliest guys in Lagos.,,30,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: orange; eyes: black; teeth: none; clothing: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",9fe06cfa7b3f13f552ea3f5c2bde48ed34706dd11fcd88e1ae55c9a77c11bdde
CHIP-0007,sinzu-money,Sinzu loves spending money on flashy things.,,31,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothing: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive '}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",9ab35f3c886fd3d12afdfafa51cf305d8aef95e7065a043a5fb87614346d44e0
CHIP-0007,obinna-the-palmwine tapper,Obinna taps palmwine for a living.,,32,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: none; clothing: yellow black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",752ec7795d02bd363cd9c8b3f5ef1175e30add24243ca6dce2493d21a04c3e4a
CHIP-0007,aminu-maikudi,Aminu is a wealthy man from a family with generational wealth. ,,33,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: none; clothing: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",000001e65d78f6f0f18d9e197f29744501aa22f46833d816d070d160277fe0d0
CHIP-0007,sabinus-the-town crier,Sabinus delivers messages to his town people.,,34,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: two white teeth with diastema; clothing: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",4557b32e4b4202bec5f8b7133f8ffbfafc0ac7a99163b5320edd63ca1b10050e
CHIP-0007,adisa-ibadan,Adisa is an elegant man and he is adored by his people.,,35,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: none; eyes: black; teeth: none; clothing: kente; accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",bc4b20b608676d3f6bc64590fd5d7289d6115c5c0244fb08f494e81baad054bc
CHIP-0007,linda-the-navigator,Linda knows how to make a way for herself and the people around her.,,36,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blonde; eyes: none; teeth: none; clothing:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",7038a50a46d323fb59ab06d51ce376123a20b854bf21fc6a6e1be200ddb826c5
CHIP-0007,kemi-the-iron lady,Kemi the strongest woman known to the town of Igbede people.,,37,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: ginger; eyes: none; teeth: none; clothing: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",bc8c1b9b5e3bfd2d8a0fbb4e75facc906bfb865905d5116841cf6efb818f848f
CHIP-0007,mercy-the-sassy lady,Mercy is a confident woman and never hesistate to show it.,,38,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: brown; eyes: none; teeth:none; clothing: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",db1aef3639b17cff8c81d636fd0e13a2f9fa2a8ea10880319fc2de506e1d66f2
CHIP-0007,sandra-money,Sandra likes getting and spending money.,,39,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: brown; eyes: none; teeth:none; clothing:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",8f7319a60e7f827808be1f42c0dca7127f44af75c60da4a65a8c695db396c173
CHIP-0007,bimpe-the-fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,,40,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blonde; eyes: none; teeth:gap teeth; clothing: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",326f4742afd9b083556c9acb0dea940f5da35be3cd4751629475ae129973a6e6
CHIP-0007,kim-rich-aunty,She loves spoiling her nieces and nephew.,TEAM ENGINE,41,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",f66c2ad28fe30027e9a024a8ed986cde06a080803addea4baf217102d7fb77d1
CHIP-0007,barbra-stark,She loves fine dining and spends time with family.,,42,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",e06087361b46fd473c6f1906a1976dc7f1906d395795ddadcd59698608bdfb7b
CHIP-0007,jean-art-dolger,Loves collecting art for charity.,,43,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",b7be441005852ca905467c17a504b979df15d4c6c8e5c28fec7c6f14a18f8059
CHIP-0007,flora-burger- eater,She loves eating burgers.,,44,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",afa3b8f129f35475b32ece8e35c8ec2cd1809f7beb8b1c95a4bcdf1271f824e2
CHIP-0007,jessie-lord-rings,She loves her  (precious) jewelry.,,45,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",f92df09cf29bc2cbbd307b065f0e211b46ac67aef886f529ba57d8917c86fdc8
CHIP-0007,pinky-monky-ponk,She love to dance the honky tonk.,,46,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",79b360271c647bc08a3335c6afd386742a3b47d613fe10c4ec8e1c0d0a0408cd
CHIP-0007,wanjiru-hippie-glitter,A hippie that loves her glitters.,,47,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",f369f755444ac78c3293082883a8d1c5bd8124360821b3acd58a96444371693b
CHIP-0007,njoki-binary-coder,She codes with the best language and tops the set.,,48,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",a4a8ca6cd05ca987d06c258689c6c63ee84400e93314c6651083211f0ceb0927
CHIP-0007,wangu-calaba-hustler,She is a passionate hustler you should be careful with her.,,49,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",02641adae09078187831df38ee5e82e84979fd6200bc4e19a4d7da1e417fef65
